,symbol,open,high,low,close,volume
2020-11-18,BINANCE:BTCDOWNUSDT,1.813,1.91,1.723,1.818,2372.8848
2020-11-19,BINANCE:BTCDOWNUSDT,1.82,1.839,1.606,1.64,1928.8051
2020-11-20,BINANCE:BTCDOWNUSDT,1.629,1.703,1.574,1.629,2264.8395
2020-11-21,BINANCE:BTCDOWNUSDT,1.627,1.84,1.623,1.69,2839.5061
2020-11-22,BINANCE:BTCDOWNUSDT,1.693,1.785,1.61,1.699,1704.9842
2020-11-23,BINANCE:BTCDOWNUSDT,1.708,1.789,1.501,1.538,3422.0326
2020-11-24,BINANCE:BTCDOWNUSDT,1.539,1.674,1.474,1.623,3556.6121
2020-11-25,BINANCE:BTCDOWNUSDT,1.631,2.228,1.585,1.969,6474.7699
2020-11-26,BINANCE:BTCDOWNUSDT,1.972,2.175,1.853,1.969,2476.5277
2020-11-27,BINANCE:BTCDOWNUSDT,1.968,2.056,1.762,1.806,2155.9252
2020-11-28,BINANCE:BTCDOWNUSDT,1.809,1.856,1.626,1.683,2510.854
2020-11-29,BINANCE:BTCDOWNUSDT,1.687,1.689,1.275,1.327,8613.7443
2020-11-30,BINANCE:BTCDOWNUSDT,1.329,1.68,1.278,1.53,7464.6956
2020-12-01,BINANCE:BTCDOWNUSDT,1.527,1.64,1.403,1.428,3915.7832
2020-12-02,BINANCE:BTCDOWNUSDT,1.434,1.51,1.34,1.383,3269.8523
2020-12-03,BINANCE:BTCDOWNUSDT,1.382,1.578,1.366,1.562,3647.7663
2020-12-04,BINANCE:BTCDOWNUSDT,1.563,1.593,1.43,1.451,1851.4625
2020-12-05,BINANCE:BTCDOWNUSDT,1.45,1.52,1.392,1.405,2333.4592
2020-12-06,BINANCE:BTCDOWNUSDT,1.404,1.502,1.388,1.446,2250.3037
2020-12-07,BINANCE:BTCDOWNUSDT,1.445,1.674,1.416,1.62,3636.3356
2020-12-08,BINANCE:BTCDOWNUSDT,1.622,1.8,1.555,1.59,4176.3649
2020-12-09,BINANCE:BTCDOWNUSDT,1.589,1.72,1.58,1.649,4061.4806
2020-12-10,BINANCE:BTCDOWNUSDT,1.645,1.8,1.638,1.691,3974.7001
2020-12-11,BINANCE:BTCDOWNUSDT,1.692,1.693,1.505,1.545,3431.0886
2020-12-12,BINANCE:BTCDOWNUSDT,1.542,1.565,1.42,1.47,4096.984
2020-12-13,BINANCE:BTCDOWNUSDT,1.474,1.5,1.426,1.456,2671.7593
2020-12-14,BINANCE:BTCDOWNUSDT,1.454,1.49,1.395,1.43,3238.636
2020-12-15,BINANCE:BTCDOWNUSDT,1.428,1.451,1.11,1.14,10250.5907
2020-12-16,BINANCE:BTCDOWNUSDT,1.138,1.159,0.852,0.952,30997.9223
2020-12-17,BINANCE:BTCDOWNUSDT,0.953,0.999,0.904,0.929,10514.5882
2020-12-18,BINANCE:BTCDOWNUSDT,0.929,0.965,0.824,0.86,8241.8833
2020-12-19,BINANCE:BTCDOWNUSDT,0.861,0.93,0.818,0.892,11804.0883
2020-12-20,BINANCE:BTCDOWNUSDT,0.894,1.025,0.841,0.964,11449.7867
2020-12-21,BINANCE:BTCDOWNUSDT,0.963,0.991,0.857,0.861,9561.4141
2020-12-22,BINANCE:BTCDOWNUSDT,0.862,0.951,0.826,0.898,13981.2664
2020-12-23,BINANCE:BTCDOWNUSDT,0.898,0.94,0.851,0.861,7983.0877
2020-12-24,BINANCE:BTCDOWNUSDT,0.858,0.885,0.761,0.774,10534.2374
2020-12-25,BINANCE:BTCDOWNUSDT,0.773,0.789,0.624,0.649,19654.6245
2020-12-26,BINANCE:BTCDOWNUSDT,0.65,0.679,0.538,0.654,42594.7175
2020-12-27,BINANCE:BTCDOWNUSDT,0.656,0.663,0.585,0.613,15260.4775
2020-12-28,BINANCE:BTCDOWNUSDT,0.613,0.681,0.596,0.6,13606.9327
2020-12-29,BINANCE:BTCDOWNUSDT,0.6,0.601,0.506,0.517,26367.8346
2020-12-30,BINANCE:BTCDOWNUSDT,0.516,0.559,0.494,0.514,24409.3587
2020-12-31,BINANCE:BTCDOWNUSDT,0.515,0.525,0.483,0.499,16686.8853
2021-01-01,BINANCE:BTCDOWNUSDT,0.499,0.515,0.371,0.399,72581.5047
2021-01-02,BINANCE:BTCDOWNUSDT,0.4,0.404,0.335,0.38,61113.0237
2021-01-03,BINANCE:BTCDOWNUSDT,0.379,0.515,0.361,0.365,61837.1524
2021-01-04,BINANCE:BTCDOWNUSDT,0.365,0.425,0.3,0.312,57026.9334
2021-01-05,BINANCE:BTCDOWNUSDT,0.312,0.327,0.247,0.249,69118.9392
2021-01-06,BINANCE:BTCDOWNUSDT,0.249,0.259,0.194,0.207,93097.5261
2021-01-07,BINANCE:BTCDOWNUSDT,0.207,0.245,0.175,0.192,127870.9113
2021-01-08,BINANCE:BTCDOWNUSDT,0.192,0.215,0.182,0.2,59495.0258
2021-01-09,BINANCE:BTCDOWNUSDT,0.2,0.265,0.185,0.217,119860.9945
2021-01-10,BINANCE:BTCDOWNUSDT,0.217,0.362,0.216,0.255,273470.8775
2021-01-11,BINANCE:BTCDOWNUSDT,0.255,0.31,0.23,0.279,171518.611
2021-01-12,BINANCE:BTCDOWNUSDT,0.279,0.31,0.212,0.22,126002.0959
2021-01-13,BINANCE:BTCDOWNUSDT,0.221,0.231,0.177,0.192,124829.8791
2021-01-14,BINANCE:BTCDOWNUSDT,0.192,0.257,0.184,0.2238,174967.435
2021-01-15,BINANCE:BTCDOWNUSDT,0.2238,0.2468,0.203,0.236,131532.7697
